"","lat","lon","type"
"686",37.6120423,127.0003392,"bell"
"687",37.6196747,127.0052212,"bell"
"688",37.613752,127.0170477,"bell"
"689",37.6089012,127.0167359,"bell"
"690",37.6105142,127.0215272,"bell"
"691",37.6024713,127.0281433,"bell"
"692",37.5975051,127.0199016,"bell"
"693",37.5930248,126.9975442,"bell"
"694",37.59568364,127.0340926,"bell"
"695",37.599807,127.0399216,"bell"
"696",37.6092484,127.0322537,"bell"
"697",37.6075396,127.0399196,"bell"
"698",37.6171978,127.0481538,"bell"
"699",37.6118041,127.0499238,"bell"
"700",37.6091659,127.0454598,"bell"
"701",37.621278,127.0471808,"bell"
"702",37.6095844,127.0700083,"bell"
"703",37.610105,127.0591763,"bell"
